anime_id,title,genre
11013,Inu x Boku SS,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,"Kids, School, Shoujo"
178,Ultra Maniac,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
6045,Kimi ni Todoke,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
210,Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy"
4224,Toradora!,"Slice of Life, Comedy, Romance, School"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen"
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power"
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo"
14397,Chihayafuru 2,"Drama, Game, Josei, School, Slice of Life, Sports"
1557,Shounen Onmyouji,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
10800,Chihayafuru,"Drama, Game, Josei, School, Slice of Life, Sports"
3731,Itazura na Kiss,"Comedy, Romance, Shoujo"
9513,Beelzebub,"Action, Comedy, Demons, Supernatural, School, Shounen"
5835,Hanasakeru Seishounen,"Drama, Romance, Shoujo"
9863,SKET Dance,"Comedy, School, Shounen"
7817,B-gata H-kei,"Comedy, Romance, Ecchi, School, Seinen"
966,Crayon Shin-chan,"Slice of Life, Comedy, Ecchi, School, Seinen"
120,Fruits Basket,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
957,Saiunkoku Monogatari,"Adventure, Fantasy, Comedy, Romance, Historical, Drama"
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
1974,Glass no Kamen (2005),"Drama, Shoujo"
857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports"
1914,Saiunkoku Monogatari 2nd Season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance"
249,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
6645,Chu-Bra!!,"Ecchi, Comedy, School, Seinen"
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance"
1571,Ghost Hunt,"Comedy, Horror, Mystery, Shoujo, Supernatural"
11759,Accel World,"Action, Game, Sci-Fi, Romance, School"
7674,Bakuman.,"Comedy, Drama, Romance, Shounen"
1698,Nodame Cantabile,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
14713,Kamisama Hajimemashita,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
233,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo"
9656,Kimi ni Todoke 2nd Season,"Slice of Life, Drama, Romance, School, Shoujo"
9926,Sekaiichi Hatsukoi,"Comedy, Drama, Romance, Shounen Ai"
2564,Code-E,"Comedy, Romance, School, Sci-Fi, Slice of Life"
3092,Junjou Romantica,"Comedy, Drama, Romance, Shounen Ai"
1579,Kiniro no Corda: Primo Passo,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo"
32370,D.Gray-man Hallow,"Action, Adventure, Super Power, Demons, Shounen"
11547,Sengoku☆Paradise Kiwami,"Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo"
33185,Peace Maker Kurogane Movie 1: Omou Michi,"Action, Comedy, Historical, Samurai, Shounen"
7518,Boku wa Kuma,"Kids, Music, Slice of Life"
16642,Ane Koi: Suki Kirai Daisuki.,Hentai
7605,Parasol Henbei,"Adventure, Comedy, Fantasy, Kids, Magic"
9389,Ginga Hyouryuu Vifam: Kieta 12-nin,"Sci-Fi, Adventure, Space, Mecha"
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,"Action, Mystery, Horror, Psychological"
9998,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,"Police, Comedy, Romance, Drama"
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural"
27417,Diabolik Lovers OVA,"Harem, School, Vampire, Shoujo"
5588,Ko Ko Ro,Hentai
23903,Tuzki: Love Assassin,"Comedy, Romance"
13247,Lupin III: Lupin Ikka Seizoroi,"Adventure, Comedy, Seinen"
33398,Neko Konogoro,Comedy
1051,Ao no 6-gou,"Action, Adventure, Mecha, Military, Sci-Fi"
12447,Ben-To Picture Drama,Comedy
3294,Gasshin Sentai Mechander Robo,"Space, Mecha, Military, Mystery, Sci-Fi"
1381,Seikai no Monshou Special,"Action, Military, Romance, Sci-Fi, Space"
8022,Tegamibachi Gakuen,Comedy
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,Comedy
33775,Soul Buster,"Action, Samurai"
20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,"Mecha, Military"
37447,Karakuri Circus,"Adventure, Mystery, Shounen"
35277,Nanumu no Ie,"Drama, Historical"
14353,Death Billiards,"Game, Mystery, Psychological, Drama, Thriller"
32747,Fake Style II,Music
5235,Live On Cardliver Kakeru,"Game, Fantasy"
8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,"Adventure, Comedy, Fantasy, Horror, Supernatural"
5117,Kokudo Oh,"Fantasy, Hentai"
26443,Triage X,"Action, Adventure, Ecchi, Shounen"
16251,Shinkai no Kantai: Submarine 707,"Action, Adventure, Military, Sci-Fi"
6777,Densha Kamo Shirenai,Music
35594,Ylion to Callysia,"Action, Fantasy"
36847,Nanatsu no Bitoku,"Ecchi, Fantasy"
29765,Metropolis (2009),
32561,Hai to Gensou no Grimgar Special,Comedy
24275,Medamayaki no Kimi Itsu Tsubusu?,"Comedy, Seinen"
29363,Watashi no Ashinaga Ojisan Specials,"Comedy, Romance, School, Shoujo, Slice of Life"
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,"Adventure, Kids"
1811,Bounty Dog: Getsumen no Ibu,"Action, Sci-Fi, Space"
5036,Hurricane Live! 2033,Music
9690,Densetsu no Yuusha no Densetsu: Iris Report,"Action, Adventure, Fantasy, Magic, Shounen"
9721,Aisai Nikki,Hentai
812,Chikyuu Shoujo Arjuna,"Adventure, Drama, Magic, Sci-Fi"
19849,Peeping Life 5.0ch,"Comedy, Slice of Life"
7791,K-On!!,"Comedy, Music, School, Slice of Life"
747,Haru wo Daite Ita,"Drama, Romance, Yaoi"
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,"Adventure, Comedy, Fantasy, Kids"
8726,Soredemo Machi wa Mawatteiru,"Comedy, Slice of Life"
20229,Makkuro na Obentou,"Drama, Historical"
